日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/10/01,新竹,AMB_TEMP,24.7,24.3,23.9,22.8,22.4,22.3,22.7,24.2,27.8,29.6,30.5,31,31.4,31.4,30.9,30.1,29,27.7,26.8,26,25.7,25.6,25.4,25
2018/10/01,新竹,CH4,1.8,1.8,1.8,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8
2018/10/01,新竹,CO,0.26,0.16,0.14,0.13,0.14,0.15,0.18,0.3,0.3,0.2,0.21,0.21,0.25,0.24,0.29,0.3,0.34,0.41,0.48,0.46,0.38,0.36,0.3,0.24
2018/10/01,新竹,NMHC,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.09,0.1,0.08,0.07,0.08,0.09,0.09,0.1,0.11,0.14,0.16,0.16,0.15,0.1,0.09,0.05,0.04
2018/10/01,新竹,NO,0.5,0.5,0.7,0.4,0.6,0.6,0.9,2.6,2.6,1.3,1.1,1.1,1.3,0.8,0.7,0.8,2.2,4.5,0.6,0.5,-0.6*,0.6,1.1,0.4
2018/10/01,新竹,NO2,6,6.3,5.7,5.3,5.4,6.1,9,15,14,8.2,7.3,7.4,8.1,8.1,10,11,14,17,15,16,12*,9.1,7.3,6.6
2018/10/01,新竹,NOx,6.5,6.8,6.4,5.7,6,6.7,9.9,18,16,9.5,8.4,8.5,9.3,8.9,11,12,17,21,16,16,12*,9.6,8.4,6.9
2018/10/01,新竹,O3,56,53,50,48,44,42,38,34,45,59,69,75,80,82,89,87,80,77,75,76,78,79,81,78
2018/10/01,新竹,PM10,33,30,31,29,26,29,31,32,35,40,52,66,70,70,72,75,79,77,79,81,79,78,75,70
2018/10/01,新竹,PM2.5,19,17,15,17,18,13,14,19,20,19,21,22,18,19,24,31,33,34,38,42,40,38,36,29
2018/10/01,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2018/10/01,新竹,RH,49,50,50,55,57,59,57,52,36,31,27,28,29,29,33,37,44,50,53,58,60,59,63,67
2018/10/01,新竹,SO2,1.5,1.7,1.5,0.9,0.3,0.4,0.4,0.8,1,1.4,1.3,1.9,2.1,2.3,1.7,2,2.5,2.4,2.3,2.3,2,2.2,2.4,2.7
2018/10/01,新竹,THC,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2,2,2,2,2,2,1.9,1.9
2018/10/01,新竹,WD_HR,43,50,75,50,92,74,66,67,73,64,62,63,51,62,48,54,60,55,69,68,61,60,72,71
2018/10/01,新竹,WIND_DIREC,45,48,71,50,84,62,65,80,71,59,64,73,39,51,53,54,71,68,72,70,51,68,67,67
2018/10/01,新竹,WIND_SPEED,3.9,2,1.7,1.4,1.2,1.9,1.6,1.6,4.4,4.4,4.9,4.8,5.6,4.5,4.2,4.6,3.6,3.9,2.8,3.8,4,4,4.7,3.9
2018/10/01,新竹,WS_HR,2.8,2,1.4,1,0.8,1.2,1.2,1.3,2.8,3.8,4,4,3.9,3.6,3.9,3.7,3.1,3.1,2.6,2.4,2.8,2.8,3.4,3.5
2018/10/02,新竹,AMB_TEMP,24.8,24.6,24.1,24,23.9,23.7,23.8,24.6,25.8,27,27.9,28.5,29.1,29.1,29,28,26.9,25.9,25,24.5,24.2,24.2,24,23.8
2018/10/02,新竹,CH4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8#,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
2018/10/02,新竹,CO,0.23,0.26,0.27,0.25,0.25,0.21,0.23,0.29,0.31,0.34,0.32,0.27#,0.3#,0.31,0.31,0.3,0.3,0.35,0.37,0.35,0.35,0.29,0.27,0.24
2018/10/02,新竹,NMHC,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.09,0.08,0.07,0.08#,0.07,0.09,0.09,0.1,0.11,0.11,0.1,0.12,0.09,0.1,0.08
2018/10/02,新竹,NO,0.2,-0.3,0.5,0.6,0.5,0.3,0.8,1.3,1.5,1.5,1.5,1.4#,1.2#,1.4,1.5,1.4,1.2,1.1,2.3,1.2,0.8,0.2,1.1,-0.7*
